"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Comparison"
"ASV473",55.3987346429745,4.33979014576657,0.797786867562809,5.43978639185221,5.3344491937e-08,8.08169052845551e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Clinician Taken Swab vs Self Taken Swab"
"ASV930",10.2463619820128,7.07285014807068,1.27704497295358,5.53845032701739,3.05159770552822e-08,8.08169052845551e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_5","Clinician Taken Swab vs Self Taken Swab"
"ASV1129",8.01074363456221,6.13168823557378,1.19541505200495,5.12933832085323,2.90762372095939e-07,2.93669995816898e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_13","Clinician Taken Swab vs Self Taken Swab"
"ASV658",26.2183382844453,4.91590213192621,1.17270012209807,4.19195158190248,2.765650292214e-05,0.00176412928853505,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Clinician Taken Swab vs Self Taken Swab"
"ASV1164",14.7532095096043,6.13952339636121,1.46867616387696,4.18031118592835,2.91110443652649e-05,0.00176412928853505,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia-Obesumbacterium","Clinician Taken Swab vs Self Taken Swab"
"ASV324",371.683531168476,26.8394233005232,1.19510580009103,22.45778013836,1.07422501011011e-111,2.24513027113014e-109,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Negativicoccus","Clinician Taken Swab vs Stool"
"ASV262",569.526082586077,28.3037762361607,1.32375165069733,21.3814851307272,1.98704563403215e-101,2.0764626875636e-99,"Bacteria","Firmicutes","Clostridia","Clostridia_or","Hungateiclostridiaceae","Fastidiosipila","Clinician Taken Swab vs Stool"
"ASV365",102.45995262584,26.6219429365886,1.50308618138387,17.711521312822,3.41710408953687e-70,2.38058251571069e-68,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Gallicola","Clinician Taken Swab vs Stool"
"ASV662",112.989585409123,26.8891460705777,1.68147570903333,15.9913972745025,1.46703257315817e-57,7.66524519475145e-56,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","Clinician Taken Swab vs Stool"
"ASV283",82.5495802164891,27.1741426510892,1.76320890882939,15.4117543956435,1.36456349774193e-53,5.70387542056126e-52,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Clinician Taken Swab vs Stool"
